text_training_data
表1,,,,,,,,,,,,,,,,,
input,output,,,,,,,,,,,,,,,,
動向と要因を出力した場合、どのような表現が多いですか？,SVIP開始、他事業買い回り増。週末はS＆上位VIP回収で一部盛り上がるも、平日B層MVあがらず客数減↘。VIP対象外、羽織や㊹欠品(モデル選定×)が大きく影響(平日失速)。,,,,,,,,,,,,,,,,
動向と要因を出力した場合、どのような表現が多いですか？,都内〇/地方×で動向差。大阪、名古屋デベ施策告知差、顧客様の購買時期に影響(取置増)。前年よりVIP MV後倒し(CP待ち)、新規△＆イベ(内容見直し要)、購買喚起×。,,,,,,,,,,,,,,,,
動向と要因を出力した場合、どのような表現が多いですか？,VIP対象前年差が実績↘に(選定品番影響あり)、コレ発売引き弱くVIP補填×。継続清涼PT不足、サイズ欠けも。㊹イベ、取扱モデル間口狭く初速鈍い。,,,,,,,,,,,,,,,,
動向と要因を出力した場合、どのような表現が多いですか？,前年イベ未開催とWEBLOOK週ズレが会員↘(ララガン除く)。気温上昇で即着涼感好調(PT清涼不足)も、単品買いや週末偏重。新規週末入荷も訴求合致せず、初速鈍い。,,,,,,,,,,,,,,,,
動向と要因を出力した場合、どのような表現が多いですか？,中衣料×(MV軽に偏重、OP不振。EASY＆清涼不足)、単価↓。RNGイベ初日盛況二日目↘、(日)ペイント中止もあり△。販促/顧客AP〇。大阪免税単価低下(万博イベ流動)。,,,,,,,,,,,,,,,,
動向と要因を出力した場合、どのような表現が多いですか？,AYDイベ〇/別注、初速落ち着くもコンスタントに実売(色偏り△)。SS新規↗(軽バリエ/FW投入無〇)、中衣料OP×(フェスレジャー拾える柄系伸びしろ)。VIP買い控え開始(DP/仕入)。,,,,,,,,,,,,,,,,
動向と要因を出力した場合、どのような表現が多いですか？,AYD別注初速〇(青山初日売上レコード、単品目的増、SET×)。デベCP、気温↗軽バリエ合致も、㉖欠品、中衣料△。店限事前発売〇、大阪人員×客数↘。,,,,,,,,,,,,,,,,
動向と要因を出力した場合、どのような表現が多いですか？,初夏MV↗に軽バリ合致。楽天駆け込みなし、デベCP取置期待値↗もCP前発売ミッキーT＆OE稼働、投入時期〇。週末GW後の影響入店↘。(海外G継続↗)IGリール〇(定期的な実施必要),,,,,,,,,,,,,,,,
